epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.18698732554912567,0.10566495358943939,9.999999747378752e-05,1.54100501537323,0.1728072613477707,0.09535931795835495,1.6194746494293213
1,0.22762441635131836,0.13198283314704895,9.999999747378752e-05,1.4266414642333984,0.17059360444545746,0.0940212681889534,1.5624048709869385
2,0.2631131708621979,0.15621812641620636,9.999999747378752e-05,1.338063359260559,0.17929990589618683,0.0994422659277916,1.5150566101074219
3,0.2975189983844757,0.18090079724788666,9.999999747378752e-05,1.2513601779937744,0.18301381170749664,0.10166393965482712,1.4904119968414307
4,0.3350848853588104,0.2090453952550888,9.999999747378752e-05,1.1661508083343506,0.18206103146076202,0.10136965662240982,1.520987868309021
5,0.3685376048088074,0.23496489226818085,9.999999747378752e-05,1.085006594657898,0.1578790247440338,0.08635649085044861,1.5626220703125
6,0.3994171619415283,0.26036208868026733,9.999999747378752e-05,1.0211129188537598,0.14284473657608032,0.0774487778544426,1.6126333475112915
7,0.43002307415008545,0.28597718477249146,9.999999747378752e-05,0.9547884464263916,0.18760831654071808,0.10457274317741394,1.5350916385650635
8,0.4507758319377899,0.30510157346725464,9.999999747378752e-05,0.9128972887992859,0.16006524860858917,0.08771511167287827,1.5884984731674194
9,0.48780855536460876,0.33765795826911926,9.999999747378752e-05,0.8312144875526428,0.19009758532047272,0.10736915469169617,1.5565941333770752
10,0.5170968174934387,0.3653949797153473,4.999999873689376e-05,0.7677853107452393,0.16136114299297333,0.08870541304349899,1.6108672618865967
11,0.5541211366653442,0.40235552191734314,4.999999873689376e-05,0.6831777095794678,0.20832981169223785,0.11794337630271912,1.52663254737854
12,0.584617555141449,0.4337126910686493,4.999999873689376e-05,0.6182058453559875,0.28854745626449585,0.17223535478115082,1.381177544593811
13,0.6098270416259766,0.46067437529563904,4.999999873689376e-05,0.5674962997436523,0.2755489647388458,0.16198793053627014,1.4355818033218384
14,0.6271500587463379,0.4795125722885132,4.999999873689376e-05,0.5362815260887146,0.21642321348190308,0.12258303165435791,1.5471402406692505
15,0.6399281024932861,0.4936000406742096,4.999999873689376e-05,0.5145880579948425,0.19331048429012299,0.10809147357940674,1.600001335144043
16,0.6542294025421143,0.5093900561332703,4.999999873689376e-05,0.49009644985198975,0.1743534356355667,0.09643230587244034,1.6516966819763184
17,0.6706731915473938,0.5284215807914734,4.999999873689376e-05,0.45953142642974854,0.15626101195812225,0.08547946810722351,1.7077553272247314
18,0.6839531064033508,0.5435394644737244,4.999999873689376e-05,0.43675512075424194,0.13900087773799896,0.07557693868875504,1.7485319375991821
19,0.6956222653388977,0.5575896501541138,2.499999936844688e-05,0.41691261529922485,0.14749263226985931,0.08070316165685654,1.7270175218582153
20,0.7056570649147034,0.5699591040611267,2.499999936844688e-05,0.39753660559654236,0.16177701950073242,0.08929049968719482,1.7160106897354126
21,0.7168427109718323,0.5835457444190979,2.499999936844688e-05,0.37646955251693726,0.1676052361726761,0.09298626333475113,1.716645359992981
22,0.7255381345748901,0.5942702293395996,2.499999936844688e-05,0.36121824383735657,0.16893136501312256,0.0936097800731659,1.7183761596679688
23,0.7336298227310181,0.604224443435669,2.499999936844688e-05,0.34761539101600647,0.17456258833408356,0.09688170999288559,1.7148808240890503
24,0.7407763004302979,0.6131816506385803,2.499999936844688e-05,0.3358406722545624,0.17598867416381836,0.0976954996585846,1.721505880355835
25,0.745909571647644,0.6196073889732361,1.249999968422344e-05,0.32749083638191223,0.16667215526103973,0.09200368076562881,1.743069052696228
26,0.7495242953300476,0.6241864562034607,1.249999968422344e-05,0.32163962721824646,0.1643441915512085,0.09065765142440796,1.7519220113754272
27,0.7529310584068298,0.6285370588302612,1.249999968422344e-05,0.31613272428512573,0.16284896433353424,0.08978580683469772,1.759831190109253
