epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.2788635194301605,0.16373734176158905,9.999999747378752e-05,1.6587858200073242,0.30033189058303833,0.1798577904701233,1.6295051574707031
1,0.3027523159980774,0.17981134355068207,9.999999747378752e-05,1.5760793685913086,0.30586865544319153,0.18345044553279877,1.6161880493164062
2,0.30602848529815674,0.18206530809402466,9.999999747378752e-05,1.5650728940963745,0.2969970703125,0.17680390179157257,1.6158534288406372
3,0.3094870150089264,0.18453800678253174,9.999999747378752e-05,1.5615196228027344,0.3067508637905121,0.1838778406381607,1.6040760278701782
4,0.31322547793388367,0.18726597726345062,9.999999747378752e-05,1.5504895448684692,0.318995863199234,0.19246916472911835,1.5659589767456055
5,0.31191810965538025,0.18625687062740326,9.999999747378752e-05,1.5579633712768555,0.29753389954566956,0.17692141234874725,1.6078020334243774
6,0.3165021538734436,0.18949894607067108,9.999999747378752e-05,1.5482763051986694,0.30125245451927185,0.1794075220823288,1.602174997329712
7,0.32190725207328796,0.193364217877388,9.999999747378752e-05,1.534212589263916,0.30698657035827637,0.18341989815235138,1.6001414060592651
8,0.32120516896247864,0.19285744428634644,9.999999747378752e-05,1.534950613975525,0.3195553719997406,0.1923656314611435,1.5982426404953003
9,0.3174288272857666,0.19020110368728638,9.999999747378752e-05,1.5491070747375488,0.318007230758667,0.1918632835149765,1.5878746509552002
10,0.3336266279220581,0.2017575055360794,9.999999747378752e-05,1.5008262395858765,0.3361106812953949,0.2046622633934021,1.5392327308654785
11,0.34055212140083313,0.2067246437072754,9.999999747378752e-05,1.4878205060958862,0.3403436839580536,0.20761190354824066,1.5572558641433716
12,0.33811748027801514,0.20501922070980072,9.999999747378752e-05,1.4975414276123047,0.3429906666278839,0.20962826907634735,1.5292441844940186
13,0.34929120540618896,0.21311311423778534,9.999999747378752e-05,1.469315528869629,0.3516228497028351,0.2160852998495102,1.5139070749282837
14,0.3555273115634918,0.21770203113555908,9.999999747378752e-05,1.4553302526474,0.35216760635375977,0.21643061935901642,1.5290474891662598
15,0.3582792282104492,0.21984827518463135,9.999999747378752e-05,1.449055790901184,0.35702550411224365,0.21997202932834625,1.5217022895812988
16,0.36346176266670227,0.22371172904968262,9.999999747378752e-05,1.437193512916565,0.35866740345954895,0.22120846807956696,1.5217803716659546
17,0.37064239382743835,0.22913908958435059,9.999999747378752e-05,1.4215766191482544,0.3579639494419098,0.2206743210554123,1.4934812784194946
18,0.3795787990093231,0.23597459495067596,9.999999747378752e-05,1.400992751121521,0.3652503788471222,0.22634583711624146,1.4579182863235474
19,0.3893286883831024,0.24356015026569366,9.999999747378752e-05,1.3799246549606323,0.36929479241371155,0.22920799255371094,1.4596872329711914
20,0.403105229139328,0.2543971836566925,9.999999747378752e-05,1.3498916625976562,0.3781326711177826,0.23578929901123047,1.4833124876022339
21,0.4133882522583008,0.26259738206863403,9.999999747378752e-05,1.3266843557357788,0.37818899750709534,0.2356777787208557,1.4784454107284546
22,0.41803017258644104,0.2663525640964508,9.999999747378752e-05,1.3208314180374146,0.37437304854393005,0.2331020087003708,1.4784815311431885
23,0.43231597542762756,0.27791890501976013,9.999999747378752e-05,1.2881536483764648,0.3689678907394409,0.22874857485294342,1.5207841396331787
24,0.4382435381412506,0.28301164507865906,9.999999747378752e-05,1.2743995189666748,0.3535288870334625,0.21689587831497192,1.5856069326400757
25,0.46003174781799316,0.30144110321998596,4.999999873689376e-05,1.2199474573135376,0.4153813123703003,0.26554253697395325,1.4644368886947632
26,0.4809897243976593,0.319394052028656,4.999999873689376e-05,1.1783274412155151,0.4157106578350067,0.2657020092010498,1.5020227432250977
27,0.4929518401622772,0.32991278171539307,4.999999873689376e-05,1.152432918548584,0.41763198375701904,0.26720407605171204,1.5301644802093506
28,0.5072731375694275,0.3427934944629669,4.999999873689376e-05,1.1211284399032593,0.41642820835113525,0.2661866247653961,1.5571365356445312
29,0.523101806640625,0.35720667243003845,4.999999873689376e-05,1.086477279663086,0.42220473289489746,0.27106061577796936,1.560587763786316
30,0.537773072719574,0.3708706200122833,4.999999873689376e-05,1.0544203519821167,0.4194053113460541,0.2690737545490265,1.5518410205841064
31,0.5480438470840454,0.3806692659854889,2.499999936844688e-05,1.0294723510742188,0.42185378074645996,0.2709989845752716,1.5697617530822754
32,0.5604112148284912,0.3924696445465088,2.499999936844688e-05,1.001785397529602,0.41776958107948303,0.26763734221458435,1.6099679470062256
33,0.5714931488037109,0.4032028913497925,2.499999936844688e-05,0.9774701595306396,0.41507863998413086,0.26548323035240173,1.6460481882095337
34,0.5832343697547913,0.41478538513183594,2.499999936844688e-05,0.9510605335235596,0.40859314799308777,0.26020804047584534,1.6988840103149414
35,0.594729483127594,0.4263192415237427,2.499999936844688e-05,0.925464928150177,0.40150952339172363,0.25447431206703186,1.7652333974838257
36,0.6059826612472534,0.43780896067619324,2.499999936844688e-05,0.9007976651191711,0.3961259424686432,0.2501165568828583,1.8185462951660156
