fold,tag,n_train,n_val,n_excluded,epochs_run,best_epoch,val_dice_soft,train_dice_soft,best_threshold,val_dice_hard,pred_foreground,train_val_gap
0,stage00fold0,86,24,26,27,11,0.28754088282585144,0.6399146914482117,0.9250000000000003,0.41435980796813965,0.12302473187446594,0.35237380862236023
1,stage00fold1,86,21,24,23,7,0.29700249433517456,0.36133846640586853,0.22500000000000006,0.452006071805954,0.24040618538856506,0.06433597207069397
2,stage00fold2,86,24,26,30,14,0.24785776436328888,0.6791325211524963,0.5750000000000002,0.3335774838924408,0.08360881358385086,0.43127475678920746
3,stage00fold3,91,21,24,28,12,0.28854745626449585,0.584617555141449,0.3750000000000001,0.3611711263656616,0.10548444837331772,0.2960700988769531
