epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.3023858368396759,0.17978616058826447,9.999999747378752e-05,1.6275681257247925,0.18005549907684326,0.10164245218038559,1.6360071897506714
1,0.3508690297603607,0.21457257866859436,9.999999747378752e-05,1.5108853578567505,0.17828845977783203,0.09995187073945999,1.5622235536575317
2,0.3796079754829407,0.23644258081912994,9.999999747378752e-05,1.4384512901306152,0.16157646477222443,0.08962520956993103,1.6110042333602905
3,0.41290080547332764,0.2629337012767792,9.999999747378752e-05,1.3484454154968262,0.16649633646011353,0.09303068369626999,1.6417847871780396
4,0.44549569487571716,0.2899513244628906,9.999999747378752e-05,1.2632719278335571,0.1630728393793106,0.0904783084988594,1.6738606691360474
5,0.48324838280677795,0.3225875496864319,9.999999747378752e-05,1.1597529649734497,0.19754374027252197,0.11214834451675415,1.6281930208206177
6,0.5134697556495667,0.3501279950141907,9.999999747378752e-05,1.0793830156326294,0.255201518535614,0.15017063915729523,1.5554064512252808
7,0.5407396554946899,0.37576091289520264,9.999999747378752e-05,1.006852388381958,0.2823760211467743,0.17007745802402496,1.589177131652832
8,0.5636866092681885,0.3978165090084076,9.999999747378752e-05,0.9500284194946289,0.33465346693992615,0.20805400609970093,1.5084813833236694
9,0.5840798616409302,0.41835546493530273,9.999999747378752e-05,0.9010834097862244,0.30914953351020813,0.18831861019134521,1.4684664011001587
10,0.6076322793960571,0.4426443874835968,9.999999747378752e-05,0.8410381078720093,0.3192305266857147,0.19502116739749908,1.5068439245224
11,0.6277123689651489,0.46332934498786926,9.999999747378752e-05,0.7907923460006714,0.28389835357666016,0.17032219469547272,1.6873059272766113
12,0.6505036354064941,0.48805001378059387,9.999999747378752e-05,0.7304935455322266,0.322284072637558,0.19638092815876007,1.5700370073318481
13,0.6749579310417175,0.5152939558029175,9.999999747378752e-05,0.6739538908004761,0.32934272289276123,0.20151180028915405,1.600595474243164
14,0.6896708607673645,0.5323191285133362,9.999999747378752e-05,0.6459726691246033,0.30904558300971985,0.18679320812225342,1.6049507856369019
15,0.7097620964050293,0.5560765862464905,9.999999747378752e-05,0.6001546382904053,0.29933884739875793,0.18163137137889862,1.5651952028274536
16,0.7252882719039917,0.5747108459472656,4.999999873689376e-05,0.5604873299598694,0.3326743543148041,0.20631378889083862,1.5670443773269653
17,0.7469891309738159,0.6019321084022522,4.999999873689376e-05,0.5019349455833435,0.30989018082618713,0.18791063129901886,1.5670865774154663
18,0.7667607069015503,0.6269930005073547,4.999999873689376e-05,0.452566534280777,0.31886056065559387,0.19461412727832794,1.5554519891738892
19,0.7812392711639404,0.6461029648780823,4.999999873689376e-05,0.4196517765522003,0.30991706252098083,0.18741978704929352,1.5684810876846313
20,0.7929806113243103,0.6618003249168396,4.999999873689376e-05,0.3941289782524109,0.2953510284423828,0.1770644187927246,1.6115251779556274
21,0.8050394058227539,0.6783022880554199,4.999999873689376e-05,0.3672691583633423,0.2835894525051117,0.1689641922712326,1.6658767461776733
22,0.8095935583114624,0.6844415664672852,2.499999936844688e-05,0.3614905774593353,0.2786569893360138,0.16525408625602722,1.7104272842407227
23,0.8172926902770996,0.6953302621841431,2.499999936844688e-05,0.34138551354408264,0.2915114164352417,0.1746341735124588,1.685878872871399
