fold,tag,params,n_train,n_val,epochs_run,best_epoch,val_dice_soft,train_dice_soft,best_threshold,val_dice_hard,pred_foreground,gt_foreground,train_val_gap,overpaint
0,baselinefold0,46401,344,24,100,98,0.33973708748817444,0.3763153553009033,0.5500000000000002,0.38564378023147583,0.2483348846435547,0.14661788940429688,0.03657826781272888,1.6937556914270846
1,baselinefold1,46401,364,21,23,7,0.40995264053344727,0.2851952612400055,0.5000000000000001,0.4781884253025055,0.9649309515953064,0.3033934235572815,-0.12475737929344177,3.1804610010378975
2,baselinefold2,46401,344,24,100,99,0.2691243588924408,0.384216845035553,0.6500000000000002,0.43405604362487793,0.15376980602741241,0.12627919018268585,0.11509248614311218,1.2176971186222876
3,baselinefold3,46401,364,21,100,97,0.382369726896286,0.35072818398475647,0.42500000000000016,0.48735761642456055,0.435365229845047,0.2459033727645874,-0.03164154291152954,1.7704727875442303
