fold,tag,n_train,n_val,n_excluded,epochs_run,best_epoch,val_dice_soft,train_dice_soft,best_threshold,val_dice_hard,pred_foreground,train_val_gap
0,stage01fold0,86,24,26,24,8,0.33465346693992615,0.5636866092681885,0.7250000000000002,0.41549184918403625,0.2865353524684906,0.22903314232826233
1,stage01fold1,91,21,24,29,13,0.3934435546398163,0.6072466373443604,0.10000000000000002,0.4471898376941681,0.6497377157211304,0.21380308270454407
2,stage01fold2,86,24,26,27,11,0.28513920307159424,0.624866783618927,0.3000000000000001,0.33758237957954407,0.18968980014324188,0.33972758054733276
3,stage01fold3,91,21,24,28,12,0.39928653836250305,0.6035175323486328,0.4500000000000001,0.4503447115421295,0.32913723587989807,0.20423099398612976
