GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,CATALOGUE,SIZE_CLASS
116,116,24d09m24.1s,15d46m52.4s,73,73,73,0,A,giants
117,117,24d09m24.1s,15d46m58.7s,23,16,21,40,A,small
118,118,24d09m24.3s,15d46m58.1s,12,11,12,-90,A,tiny
119,119,24d09m24.4s,15d46m59.4s,10,9,10,-90,A,tiny
120,120,24d09m24.4s,15d47m7.0s,62,42,56,0,A,giants
121,121,24d09m24.6s,15d47m3.4s,19,18,19,-90,A,small
122,122,24d09m24.9s,15d46m59.4s,9,9,9,0,A,tiny
123,123,24d09m24.9s,15d46m59.7s,8,8,8,0,A,tiny
124,124,24d09m24.9s,15d47m0.6s,27,27,27,-90,A,medium
125,125,24d09m25.0s,15d46m58.9s,11,9,10,-90,A,tiny
126,126,24d09m25.1s,15d47m2.5s,21,15,19,-60,A,small
127,127,24d09m25.2s,15d47m4.7s,25,25,25,0,A,medium
128,128,24d09m25.3s,15d47m14.9s,26,26,26,-90,A,medium
129,129,24d09m25.5s,15d48m23.1s,26,26,26,0,A,medium
130,130,24d09m25.5s,15d47m14.0s,18,18,18,-90,A,small
131,131,24d09m25.7s,15d46m59.4s,12,11,11,-90,A,tiny
132,132,24d09m26.1s,15d47m0.2s,9,9,9,0,A,tiny
133,133,24d09m26.1s,15d47m6.9s,25,24,24,-90,A,medium
134,134,24d09m26.2s,15d46m59.4s,9,8,9,-90,A,tiny
135,135,24d09m26.2s,15d48m29.9s,20,20,20,0,A,small
136,136,24d09m26.3s,15d48m22.1s,15,15,15,0,A,tiny
137,137,24d09m26.4s,15d47m16.4s,47,37,44,0,A,giants
138,138,24d09m26.4s,15d47m12.2s,15,14,14,0,A,tiny
139,139,24d09m26.4s,15d47m0.0s,11,11,11,0,A,tiny
140,140,24d09m26.5s,15d47m1.6s,99,57,85,40,A,giants
141,141,24d09m26.5s,15d47m0.4s,10,9,10,20,A,tiny
142,142,24d09m26.6s,15d47m13.5s,24,23,24,-90,A,medium
143,143,24d09m26.6s,15d48m18.4s,31,29,30,0,A,large
145,145,24d09m26.8s,15d46m59.2s,8,8,8,-90,A,tiny
146,146,24d09m27.0s,15d46m59.6s,10,9,10,0,A,tiny
147,147,24d09m27.1s,15d46m58.3s,39,39,39,0,A,large
148,148,24d09m27.2s,15d48m23.2s,29,29,29,0,A,medium
150,150,24d09m27.4s,15d47m10.5s,34,33,33,0,A,large
151,151,24d09m27.6s,15d47m11.6s,17,16,17,-90,A,tiny
153,153,24d09m27.8s,15d47m8.0s,24,23,24,0,A,medium
154,154,24d09m27.8s,15d48m16.1s,19,19,19,0,A,small
157,157,24d09m28.3s,15d48m21.5s,22,22,22,0,A,small
158,158,24d09m28.5s,15d46m59.8s,28,27,27,-90,A,medium
159,159,24d09m28.6s,15d47m2.1s,40,39,40,0,A,large
161,161,24d09m28.6s,15d47m8.9s,24,24,24,0,A,medium
162,162,24d09m28.6s,15d48m28.6s,62,62,62,0,A,giants
163,163,24d09m28.7s,15d47m4.2s,27,27,27,0,A,medium
164,164,24d09m28.8s,15d47m11.9s,31,26,29,-90,A,medium
165,165,24d09m28.9s,15d47m9.8s,18,18,18,-90,A,small
167,167,24d09m29.4s,15d47m17.9s,38,34,37,-90,A,large
168,168,24d09m29.5s,15d47m9.5s,21,19,20,-90,A,small
169,169,24d09m29.6s,15d46m46.2s,21,21,21,0,A,small
170,170,24d09m30.0s,15d46m19.0s,30,30,30,0,A,large
171,171,24d09m30.5s,15d47m1.9s,29,29,29,0,A,medium
172,172,24d09m30.9s,15d47m3.9s,55,55,55,0,A,giants
173,173,24d09m31.3s,15d47m13.0s,23,19,22,-90,A,small
174,174,24d09m31.3s,15d47m17.6s,61,59,60,-90,A,giants
175,175,24d09m31.3s,15d48m24.5s,32,32,32,0,A,large
176,176,24d09m31.4s,15d48m26.1s,26,26,26,0,A,medium
177,177,24d09m31.9s,15d48m34.5s,28,28,28,0,A,medium
178,178,24d09m31.9s,15d47m7.0s,37,37,37,0,A,large
179,179,24d09m32.0s,15d48m32.1s,26,26,26,0,A,medium
180,180,24d09m32.3s,15d47m13.5s,32,32,32,0,A,large
181,181,24d09m32.8s,15d48m24.3s,34,34,34,0,A,large
182,182,24d09m32.9s,15d47m12.0s,24,23,24,-90,A,medium
183,183,24d09m32.9s,15d47m4.4s,18,18,18,0,A,small
184,184,24d09m33.0s,15d48m31.5s,40,40,40,0,A,large
185,185,24d09m33.1s,15d47m4.0s,16,16,16,0,A,tiny
186,186,24d09m33.2s,15d48m29.3s,52,52,52,0,A,giants
188,188,24d09m33.4s,15d47m19.1s,14,13,14,-90,A,tiny
190,190,24d09m33.5s,15d47m2.2s,117,117,117,0,A,edgeLarge
191,191,24d09m33.6s,15d46m49.4s,17,16,17,-90,A,tiny
192,192,24d09m33.6s,15d47m7.1s,29,29,29,0,A,medium
