GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
1593,1593,24d11m18.9s,15d45m53.8s,64,64,64,0,4,146,2.98,A
1596,1596,24d11m19.4s,15d46m25.0s,43,43,43,0,2,-80,2.84,A
1601,1601,24d11m20.6s,15d46m40.8s,146,121,138,0,2,-189,4.24,A
1603,1603,24d11m20.9s,15d46m11.0s,43,41,42,90,2,-178,4.37,A
1605,1605,24d11m21.2s,15d46m21.9s,46,46,46,0,4,214,3.44,A
1608,1608,24d11m21.4s,15d46m9.2s,82,82,82,0,4,140,2.77,A
1609,1609,24d11m21.7s,15d46m38.9s,188,144,173,-80,4,197,3.3,A
1611,1611,24d11m22.2s,15d46m40.9s,255,222,244,70,4,150,2.86,A
1613,1613,24d11m22.4s,15d46m6.4s,56,56,56,0,2,-233,3.55,A
1614,1614,24d11m22.6s,15d46m10.5s,45,45,45,0,4,227,3.49,A
1617,1617,24d11m25.6s,15d46m54.3s,61,37,53,90,2,-147,4.25,A
1618,1618,24d11m26.2s,15d45m53.4s,149,110,136,-60,4,182,2.82,A
1619,1619,24d11m26.5s,15d46m51.5s,48,48,48,0,2,-170,2.8,A
1625,1625,24d11m28.4s,15d47m1.2s,45,45,45,0,2,-175,2.89,A
1628,1628,24d11m29.2s,15d45m57.2s,41,41,41,0,2,-154,2.92,A
1631,1631,24d11m29.8s,15d46m48.4s,48,48,48,0,2,-142,4.11,A
1636,1636,24d11m30.7s,15d46m59.7s,62,47,57,-60,2,-170,3.03,A
1644,1644,24d11m34.5s,15d45m29.3s,45,45,45,0,2,-15,5.32,A
1646,1646,24d11m34.7s,15d45m42.0s,42,42,42,0,2,7,5.46,A
1647,1647,24d11m36.0s,15d45m28.7s,52,52,52,0,2,-3,5.38,A
1654,1654,24d11m38.0s,15d45m28.5s,169,106,148,-20,2,-21,5.06,A
1664,1664,24d11m45.3s,15d46m25.2s,122,96,113,50,2,20,5.02,A
1670,1670,24d11m46.2s,15d45m46.0s,48,48,48,0,2,-27,4.5,A
1672,1672,24d11m46.8s,15d45m43.8s,96,72,88,-60,2,65,5.58,A
1677,1677,24d11m47.4s,15d45m44.9s,44,44,44,0,2,-15,4.6,A
1678,1678,24d11m47.6s,15d46m5.5s,48,48,48,0,2,43,5.15,A
1681,1681,24d11m47.8s,15d46m10.5s,50,50,50,0,2,51,5.32,A
1682,1682,24d11m47.9s,15d45m42.3s,41,41,41,0,2,-16,4.54,A
1689,1689,24d11m49.5s,15d46m17.9s,47,47,47,0,2,-6,4.61,A
1697,3,24d09m4.3s,15d47m33.3s,53,50,52,0,3,46,4.05,B
1698,4,24d09m8.1s,15d47m30.0s,56,53,55,0,3,20,3.83,B
1699,5,24d09m14.2s,15d48m6.5s,53,53,53,0,3,-8,4.53,B
1704,10,24d09m27.0s,15d47m1.7s,95,90,94,0,3,-61,2.7,B
1709,15,24d09m32.9s,15d47m1.0s,48,48,48,0,2,86,2.43,B
1713,19,24d09m34.5s,15d47m2.0s,72,72,72,0,2,70,2.36,B
1716,22,24d09m35.8s,15d47m6.1s,45,45,45,0,2,54,2.31,B
1723,29,24d09m37.3s,15d46m15.2s,45,45,45,0,4,-60,3.13,B
1724,30,24d09m37.5s,15d47m30.2s,56,53,55,0,2,38,2.62,B
1726,32,24d09m37.7s,15d47m6.8s,42,42,42,0,2,37,2.23,B
1728,34,24d09m38.3s,15d46m6.9s,107,107,107,0,4,1,3.39,B
1729,35,24d09m38.6s,15d46m47.4s,59,59,59,0,2,83,2.27,B
1730,36,24d09m39.1s,15d47m20.5s,43,43,43,0,2,13,2.34,B
1732,38,24d09m39.3s,15d47m48.4s,71,70,71,0,2,88,3.11,B
1733,39,24d09m39.5s,15d47m13.7s,68,68,68,0,2,10,2.21,B
1737,43,24d09m40.4s,15d46m51.8s,140,85,122,-30,2,52,2.14,B
1749,55,24d09m42.9s,15d47m22.8s,49,49,49,0,2,-19,2.23,B
1751,57,24d09m43.1s,15d47m15.0s,56,56,56,0,2,-21,2.07,B
1752,58,24d09m43.2s,15d46m45.1s,64,64,64,0,2,57,2.1,B
1753,59,24d09m43.3s,15d46m39.3s,48,46,47,0,2,87,2.21,B
1754,60,24d09m43.3s,15d47m20.6s,53,53,53,0,2,-23,2.16,B
1756,62,24d09m43.8s,15d45m53.8s,53,50,52,90,4,100,3.75,B
1763,69,24d09m44.8s,15d46m49.6s,56,54,55,0,2,27,1.97,B
1766,72,24d09m45.2s,15d47m31.7s,50,50,50,0,2,-19,2.37,B
1768,74,24d09m45.3s,15d47m26.0s,110,110,110,0,2,-33,2.21,B
1773,79,24d09m46.2s,15d47m56.8s,41,40,41,90,2,95,3.22,B
1774,80,24d09m46.3s,15d46m57.8s,66,66,66,0,2,-15,1.83,B
1775,81,24d09m46.4s,15d47m14.8s,41,41,41,0,2,-47,1.93,B
1778,84,24d09m47.1s,15d46m56.3s,58,58,58,0,2,-15,1.8,B
1784,90,24d09m48.2s,15d47m41.8s,82,82,82,0,2,-4,2.6,B
1786,92,24d09m48.4s,15d46m7.9s,87,83,86,0,4,-30,3.07,B
1787,93,24d09m48.5s,15d47m37.3s,52,49,51,-90,2,-28,2.44,B
1788,94,24d09m48.5s,15d47m44.4s,52,52,52,0,2,3,2.68,B
1793,99,24d09m49.7s,15d46m6.6s,50,50,50,0,4,-19,3.09,B
1796,102,24d09m49.8s,15d47m46.9s,67,67,67,0,2,10,2.74,B
1803,109,24d09m50.5s,15d46m21.9s,50,48,49,90,4,-154,2.48,B
1808,114,24d09m51.0s,15d45m43.2s,45,42,44,90,4,182,4.05,B
1811,117,24d09m51.4s,15d45m48.1s,45,45,45,0,4,138,3.83,B
1818,124,24d09m52.8s,15d47m11.8s,53,52,52,-90,2,-97,1.6,B
1821,127,24d09m53.1s,15d46m10.1s,42,40,41,90,4,-57,2.86,B
1822,128,24d09m53.1s,15d45m53.1s,214,210,213,0,4,91,3.57,B
1823,129,24d09m53.3s,15d46m7.4s,127,119,124,0,4,-33,2.97,B
1828,134,24d09m53.8s,15d45m44.8s,106,93,101,0,4,164,3.93,B
1838,144,24d09m55.3s,15d46m15.3s,42,42,42,0,4,-104,2.6,B
1842,148,24d09m56.1s,15d46m13.1s,53,52,52,0,4,-85,2.67,B
1847,153,24d09m56.9s,15d47m46.4s,53,52,52,0,2,-36,2.54,B
1848,154,24d09m57.0s,15d46m3.3s,42,41,42,90,4,-3,3.06,B
1850,156,24d09m57.3s,15d46m23.6s,42,42,42,0,2,106,2.22,B
1854,160,24d09m57.9s,15d46m39.4s,45,45,45,0,2,-6,1.65,B
1855,161,24d09m58.1s,15d46m28.8s,55,55,55,0,2,67,2.0,B
1858,164,24d09m58.3s,15d47m59.4s,148,143,146,0,2,46,3.05,B
1860,166,24d09m58.4s,15d46m32.6s,82,82,82,0,2,38,1.86,B
1861,167,24d09m58.5s,15d46m14.0s,109,109,109,0,4,-98,2.57,B
1862,168,24d09m58.5s,15d45m46.3s,67,66,67,0,4,143,3.78,B
1863,169,24d09m58.6s,15d45m51.3s,61,61,61,0,4,99,3.56,B
1865,171,24d09m59.1s,15d45m57.8s,217,196,210,90,4,41,3.26,B
1868,174,24d09m59.6s,15d45m55.0s,77,74,76,0,4,65,3.38,B
1870,176,24d09m59.7s,15d46m14.0s,42,41,42,0,4,-99,2.55,B
1871,177,24d10m0.1s,15d45m48.8s,77,74,76,0,4,119,3.65,B
1873,179,24d10m0.8s,15d46m4.1s,107,93,102,0,4,-15,2.96,B
1875,181,24d10m0.9s,15d45m50.8s,53,48,51,0,4,100,3.55,B
1878,184,24d10m1.3s,15d45m40.7s,53,50,52,90,4,187,4.0,B
1880,186,24d10m1.6s,15d47m39.0s,75,74,75,0,2,-112,2.12,B
1883,189,24d10m2.2s,15d45m43.4s,106,106,106,0,4,161,3.86,B
1895,201,24d10m3.7s,15d48m28.2s,52,52,52,0,1,-162,4.28,B
1896,202,24d10m3.8s,15d47m17.0s,107,54,90,-90,4,177,1.27,B
1897,203,24d10m3.8s,15d45m36.1s,74,74,74,0,4,223,4.18,B
1898,204,24d10m4.0s,15d47m14.4s,51,51,51,0,4,185,1.19,B
1899,205,24d10m4.2s,15d45m46.7s,41,40,41,90,4,129,3.69,B
1903,209,24d10m4.6s,15d46m37.2s,57,57,57,0,2,-26,1.5,B
1906,212,24d10m4.9s,15d45m59.7s,41,40,41,0,4,16,3.09,B
1909,215,24d10m5.1s,15d45m52.8s,45,45,45,0,4,74,3.4,B
1912,218,24d10m5.4s,15d46m22.7s,82,74,79,0,2,98,2.06,B
1914,220,24d10m6.0s,15d45m57.7s,46,46,46,0,4,29,3.16,B
1916,222,24d10m6.1s,15d45m37.9s,61,58,60,0,4,206,4.07,B
1918,224,24d10m6.2s,15d46m20.7s,95,87,93,0,2,117,2.13,B
1919,225,24d10m6.5s,15d45m11.6s,87,87,87,0,2,-318,5.3,B
1921,227,24d10m6.8s,15d47m54.8s,127,122,125,0,2,-24,2.71,B
1923,229,24d10m7.2s,15d47m49.8s,54,53,54,0,2,-65,2.48,B
1924,230,24d10m7.3s,15d46m46.3s,42,41,42,0,2,104,1.11,B
1925,231,24d10m7.4s,15d45m58.3s,46,44,45,0,4,21,3.11,B
1926,232,24d10m7.6s,15d46m17.1s,77,75,76,90,4,-139,2.26,B
1927,233,24d10m7.9s,15d48m13.0s,44,44,44,0,2,124,3.53,B
1929,235,24d10m8.4s,15d46m41.5s,60,58,59,-90,2,-77,1.23,B
1930,236,24d10m8.4s,15d47m45.5s,62,58,61,90,2,-104,2.26,B
1931,237,24d10m8.5s,15d45m43.2s,42,38,41,0,4,157,3.8,B
1933,239,24d10m8.7s,15d45m53.6s,48,42,46,0,4,64,3.32,B
1936,242,24d10m9.1s,15d46m23.5s,52,49,51,90,2,101,1.95,B
1952,258,24d10m10.2s,15d45m12.1s,101,101,101,0,2,-316,5.25,B
1955,261,24d10m10.7s,15d46m34.4s,52,52,52,0,2,-58,1.45,B
1957,263,24d10m11.4s,15d46m13.4s,60,60,60,0,4,-107,2.37,B
1960,266,24d10m11.6s,15d46m44.7s,95,93,94,0,2,117,1.02,B
1961,267,24d10m11.6s,15d48m9.3s,323,312,319,0,2,82,3.32,B
1964,270,24d10m12.9s,15d47m25.2s,63,62,63,0,4,85,1.3,B
1965,271,24d10m12.9s,15d47m21.6s,87,83,86,0,4,88,1.14,B
1968,274,24d10m13.3s,15d46m33.9s,79,77,78,90,2,-81,1.42,B
1969,275,24d10m13.5s,15d45m43.8s,73,69,71,0,4,153,3.73,B
1973,279,24d10m13.9s,15d47m22.6s,44,44,44,0,4,77,1.17,B
1981,287,24d10m15.4s,15d46m28.8s,182,182,182,0,2,-107,1.62,B
1982,288,24d10m15.4s,15d45m20.0s,53,53,53,0,4,369,4.85,B
1984,290,24d10m15.6s,15d46m2.2s,71,66,70,0,4,0,2.85,B
1988,294,24d10m15.9s,15d45m16.5s,61,56,59,0,2,-344,5.01,B
1989,295,24d10m16.0s,15d46m43.7s,101,98,100,0,2,138,0.95,B
1996,302,24d10m17.0s,15d46m34.1s,44,41,43,0,2,-112,1.35,B
2002,308,24d10m17.6s,15d46m48.7s,108,107,108,0,2,179,0.7,B
2006,312,24d10m18.3s,15d45m15.6s,53,50,52,0,2,-332,5.04,B
2008,314,24d10m18.4s,15d46m27.2s,60,58,59,0,2,137,1.66,B
2009,315,24d10m18.4s,15d45m56.7s,71,62,68,90,4,50,3.09,B
2011,317,24d10m18.6s,15d46m47.6s,69,66,68,0,2,179,0.73,B
2016,322,24d10m18.9s,15d46m17.2s,101,101,101,0,4,-116,2.12,B
2017,323,24d10m18.9s,15d46m56.6s,44,41,43,0,2,239,0.39,B
2020,326,24d10m19.0s,15d46m44.5s,61,60,60,0,2,162,0.86,B
2021,327,24d10m19.1s,15d45m18.0s,74,69,72,0,2,-350,4.93,B
2027,333,24d10m19.4s,15d46m34.5s,61,60,60,90,2,-133,1.31,B
2028,334,24d10m19.7s,15d46m19.1s,45,42,44,0,4,-130,2.02,B
2030,336,24d10m20.0s,15d48m32.4s,115,114,115,0,1,-37,4.36,B
2031,337,24d10m20.2s,15d46m45.2s,58,58,58,0,2,-175,0.8,B
2038,344,24d10m20.7s,15d47m8.1s,46,44,45,0,4,149,0.41,B
2039,345,24d10m20.7s,15d47m9.8s,147,72,122,0,4,133,0.48,B
2048,354,24d10m21.8s,15d45m37.2s,60,45,55,-80,4,226,4.01,B
2054,360,24d10m22.8s,15d45m48.4s,81,81,81,0,4,133,3.47,B
2058,364,24d10m23.3s,15d46m0.1s,45,44,45,90,4,39,2.91,B
2062,368,24d10m24.0s,15d46m55.0s,74,74,74,0,2,-259,0.31,B
2064,370,24d10m24.5s,15d48m27.0s,60,54,58,0,1,-91,4.1,B
2066,372,24d10m25.0s,15d48m35.5s,48,45,47,0,1,-21,4.5,B
2067,373,24d10m25.2s,15d48m37.2s,42,41,42,90,1,-11,4.58,B
2068,374,24d10m25.2s,15d46m28.4s,46,44,45,0,2,-189,1.56,B
2069,375,24d10m25.3s,15d46m1.4s,66,63,65,90,4,33,2.85,B
2071,377,24d10m25.5s,15d46m26.7s,61,56,59,90,4,-193,1.64,B
2073,379,24d10m26.4s,15d45m44.7s,46,45,46,90,4,176,3.65,B
2076,382,24d10m26.5s,15d46m30.6s,53,53,53,0,2,-197,1.46,B
2080,386,24d10m26.7s,15d46m20.7s,45,33,41,-30,4,-140,1.93,B
2081,387,24d10m27.0s,15d47m26.0s,45,41,44,0,4,-26,1.19,B
2083,389,24d10m27.2s,15d46m16.3s,60,56,58,0,4,-100,2.14,B
2084,390,24d10m27.2s,15d46m5.4s,53,49,52,0,4,-2,2.66,B
2085,391,24d10m27.3s,15d46m28.3s,45,45,45,0,4,-199,1.56,B
2086,392,24d10m27.5s,15d46m13.9s,53,52,52,0,4,-79,2.25,B
2088,394,24d10m27.7s,15d46m51.3s,60,58,59,0,2,260,0.47,B
2091,397,24d10m28.2s,15d46m2.6s,78,78,78,0,4,23,2.8,B
2093,399,24d10m28.3s,15d48m29.6s,267,200,245,-50,1,-80,4.22,B
2094,400,24d10m28.5s,15d46m35.9s,44,42,43,90,2,-213,1.21,B
2095,401,24d10m28.8s,15d46m17.9s,54,52,53,90,4,-110,2.06,B
2097,403,24d10m28.8s,15d46m4.8s,62,61,62,0,4,3,2.69,B
2098,404,24d10m29.0s,15d45m46.8s,69,67,68,0,4,165,3.55,B
2100,406,24d10m29.3s,15d48m22.3s,60,60,60,0,1,-144,3.88,B
2101,407,24d10m29.4s,15d46m52.7s,63,61,63,0,2,279,0.43,B
2103,409,24d10m29.5s,15d45m52.9s,53,50,52,0,4,110,3.26,B
2104,410,24d10m29.5s,15d45m43.7s,56,53,55,90,4,193,3.7,B
2105,411,24d10m29.6s,15d47m20.9s,54,52,53,0,4,68,0.96,B
2106,412,24d10m29.8s,15d45m57.8s,151,132,145,-70,4,66,3.03,B
2113,419,24d10m30.5s,15d48m36.9s,62,62,62,0,1,-31,4.57,B
2117,423,24d10m30.7s,15d46m54.2s,42,42,42,0,4,-280,0.4,B
2118,424,24d10m30.9s,15d45m48.5s,45,45,45,0,4,149,3.47,B
2119,425,24d10m31.2s,15d47m40.3s,61,53,58,90,4,81,1.89,B
2121,427,24d10m31.4s,15d46m36.9s,44,41,43,90,2,-239,1.18,B
2123,429,24d10m31.8s,15d45m44.2s,58,53,56,0,4,189,3.68,B
2125,431,24d10m31.9s,15d47m30.5s,44,42,43,90,4,-6,1.43,B
2127,433,24d10m31.9s,15d48m24.6s,86,85,86,0,1,-135,3.99,B
2128,434,24d10m32.3s,15d45m45.9s,67,62,66,0,4,173,3.6,B
2134,440,24d10m32.6s,15d46m13.0s,60,60,60,0,4,-55,2.32,B
2135,441,24d10m33.0s,15d46m15.0s,49,45,48,0,4,-71,2.22,B
2137,443,24d10m33.0s,15d46m9.0s,41,40,41,0,4,-22,2.51,B
2140,446,24d10m33.2s,15d45m43.2s,50,44,48,-20,4,198,3.73,B
2146,452,24d10m34.0s,15d45m44.8s,54,52,53,0,4,184,3.66,B
2148,454,24d10m34.4s,15d45m48.4s,105,99,103,0,4,153,3.49,B
2153,459,24d10m34.8s,15d45m59.9s,42,40,41,0,4,56,2.95,B
2155,461,24d10m34.8s,15d46m9.1s,75,57,69,60,4,-16,2.51,B
2157,463,24d10m35.2s,15d46m21.0s,45,45,45,0,4,-112,1.96,B
2161,467,24d10m35.3s,15d48m23.2s,74,74,74,0,1,-159,3.94,B
2162,468,24d10m35.4s,15d47m27.4s,87,61,78,-30,4,-28,1.33,B
2164,470,24d10m35.8s,15d45m42.9s,53,53,53,0,4,204,3.76,B
2166,472,24d10m35.8s,15d47m34.6s,45,42,44,90,4,36,1.66,B
2167,473,24d10m35.9s,15d46m16.7s,82,77,80,90,4,-73,2.17,B
2169,475,24d10m36.0s,15d47m5.1s,41,41,41,0,4,-194,0.5,B
2171,477,24d10m36.1s,15d46m42.5s,46,45,46,0,4,250,1.0,B
2178,484,24d10m36.7s,15d45m7.6s,41,41,41,0,2,-209,5.44,B
2183,489,24d10m36.9s,15d46m32.3s,50,42,48,90,4,-192,1.47,B
2187,493,24d10m37.4s,15d46m5.4s,42,42,42,0,4,18,2.71,B
2188,494,24d10m37.5s,15d45m30.3s,73,73,73,0,4,318,4.36,B
2190,496,24d10m37.9s,15d46m38.7s,63,60,62,90,4,-225,1.2,B
2191,497,24d10m38.2s,15d45m59.7s,60,45,55,0,4,70,2.98,B
2194,500,24d10m38.5s,15d46m4.6s,42,41,42,90,4,29,2.76,B
2197,503,24d10m38.7s,15d47m34.6s,69,63,67,90,4,40,1.7,B
2198,504,24d10m38.8s,15d45m10.8s,87,79,85,0,2,-226,5.3,B
2199,505,24d10m38.8s,15d46m51.1s,60,58,59,0,4,220,0.76,B
2203,509,24d10m39.1s,15d48m1.4s,190,185,189,0,2,7,2.94,B
2204,510,24d10m39.1s,15d46m53.6s,56,52,54,0,4,216,0.7,B
2205,511,24d10m39.2s,15d45m50.4s,102,102,102,0,4,149,3.43,B
2207,513,24d10m39.5s,15d45m27.8s,66,66,66,0,4,344,4.49,B
2208,514,24d10m39.6s,15d46m3.7s,46,42,45,90,4,41,2.81,B
2210,516,24d10m39.9s,15d46m16.3s,49,48,49,0,4,-56,2.23,B
2211,517,24d10m39.9s,15d48m28.4s,71,49,64,90,1,-129,4.22,B
2212,518,24d10m40.2s,15d48m18.1s,63,60,62,90,2,156,3.73,B
2217,523,24d10m40.8s,15d48m13.4s,66,62,65,90,2,115,3.51,B
2219,525,24d10m40.9s,15d46m8.2s,50,48,49,0,4,11,2.62,B
2220,526,24d10m41.1s,15d45m46.2s,58,54,57,0,4,190,3.64,B
2222,528,24d10m41.6s,15d46m6.0s,53,50,52,0,4,29,2.72,B
2223,529,24d10m41.8s,15d46m39.7s,177,175,176,0,4,-196,1.25,B
2224,530,24d10m42.0s,15d46m47.1s,41,41,41,0,4,-200,1.0,B
2225,531,24d10m42.0s,15d45m43.8s,114,111,113,90,4,213,3.76,B
2235,541,24d10m43.7s,15d46m55.1s,69,69,69,0,4,-175,0.86,B
2238,544,24d10m43.7s,15d45m55.1s,50,48,49,0,4,126,3.25,B
2242,548,24d10m44.0s,15d45m46.0s,85,85,85,0,4,202,3.68,B
2244,550,24d10m44.2s,15d46m4.7s,63,58,62,90,4,50,2.82,B
2245,551,24d10m44.2s,15d46m0.8s,50,48,49,90,4,81,3.0,B
2246,552,24d10m44.2s,15d48m27.4s,82,78,81,0,1,-152,4.2,B
2247,553,24d10m44.3s,15d48m30.4s,66,65,66,0,1,-126,4.34,B
2248,554,24d10m44.4s,15d47m13.0s,57,56,56,0,4,96,1.02,B
2249,555,24d10m44.6s,15d46m8.4s,104,75,94,40,4,23,2.66,B
2253,559,24d10m44.9s,15d46m13.0s,56,53,55,0,4,-10,2.45,B
2254,560,24d10m45.1s,15d45m58.7s,176,108,153,50,4,102,3.11,B
2256,562,24d10m45.7s,15d47m36.6s,45,42,44,90,4,77,1.92,B
2263,569,24d10m46.8s,15d46m4.5s,143,132,139,90,4,62,2.87,B
2265,571,24d10m48.0s,15d45m52.5s,47,47,47,0,4,163,3.43,B
2268,574,24d10m48.5s,15d46m0.1s,63,61,63,90,4,104,3.09,B
2270,576,24d10m48.8s,15d45m54.8s,63,60,62,0,4,148,3.33,B
2271,577,24d10m48.9s,15d46m10.5s,65,36,55,40,4,25,2.63,B
2272,578,24d10m48.9s,15d48m7.7s,185,175,182,90,2,74,3.35,B
2277,583,24d10m50.1s,15d47m17.0s,173,134,160,60,4,-35,1.35,B
2279,585,24d10m50.4s,15d46m12.9s,56,34,49,20,4,15,2.56,B
2281,587,24d10m50.6s,15d46m2.4s,58,56,57,90,4,94,3.02,B
2286,592,24d10m52.6s,15d46m4.8s,79,75,78,0,4,85,2.95,B
2288,594,24d10m53.4s,15d47m56.7s,43,43,43,0,2,-8,2.94,B
2289,595,24d10m53.7s,15d47m24.6s,111,108,110,0,4,33,1.7,B
2295,601,24d10m55.2s,15d47m12.3s,138,107,127,40,4,-16,1.45,B
2298,604,24d10m56.1s,15d46m7.1s,95,94,95,90,4,86,2.93,B
2299,605,24d10m56.5s,15d46m54.2s,86,81,84,90,4,-64,1.44,B
2302,608,24d10m57.2s,15d45m45.9s,101,101,101,0,4,252,3.86,B
2306,612,24d10m58.5s,15d46m23.5s,45,37,42,90,4,-4,2.33,B
2309,615,24d10m59.1s,15d47m15.5s,41,40,41,0,4,22,1.67,B
2315,621,24d11m0.5s,15d47m1.7s,82,81,82,0,4,-19,1.59,B
2317,623,24d11m1.5s,15d48m0.6s,50,50,50,0,2,47,3.27,B
2318,624,24d11m1.9s,15d46m57.5s,124,108,119,90,4,-18,1.66,B
2319,625,24d11m2.2s,15d46m51.4s,54,53,54,90,4,-22,1.73,B
2320,626,24d11m2.4s,15d47m16.2s,61,57,60,0,4,51,1.83,B
2322,628,24d11m2.8s,15d46m33.4s,65,63,64,90,4,-6,2.15,B
2324,630,24d11m3.1s,15d47m12.8s,41,41,41,0,4,42,1.79,B
2328,634,24d11m3.3s,15d47m10.8s,45,44,45,0,4,33,1.78,B
2330,636,24d11m3.4s,15d46m7.5s,66,45,59,0,4,124,3.08,B
2331,637,24d11m3.5s,15d46m49.5s,111,108,110,90,4,-16,1.81,B
2340,646,24d11m6.0s,15d46m2.3s,85,85,85,0,4,173,3.35,B
2343,649,24d11m6.5s,15d46m8.2s,65,62,64,90,4,139,3.14,B
2345,651,24d11m7.0s,15d45m58.2s,155,155,155,0,4,206,3.54,B
2346,652,24d11m7.2s,15d46m30.3s,42,40,41,0,4,35,2.4,B
2348,654,24d11m7.3s,15d45m34.0s,229,229,229,0,2,-226,4.57,B
2349,655,24d11m7.4s,15d46m59.6s,44,41,43,90,4,29,1.91,B
2351,657,24d11m7.7s,15d47m17.1s,53,50,52,0,4,96,2.06,B
2354,660,24d11m8.1s,15d46m13.4s,177,116,157,40,4,116,2.99,B
2364,670,24d11m9.3s,15d46m58.0s,46,44,45,0,4,46,2.0,B
2367,673,24d11m9.5s,15d47m1.1s,45,45,45,0,4,50,2.0,B
2370,676,24d11m9.5s,15d46m20.8s,513,487,504,90,4,88,2.78,B
2377,683,24d11m10.6s,15d47m7.9s,172,112,152,-20,4,81,2.08,B
2378,684,24d11m10.9s,15d46m49.6s,66,62,65,90,4,46,2.14,B
2379,685,24d11m10.9s,15d46m42.6s,111,106,109,0,4,46,2.25,B
2380,686,24d11m11.0s,15d46m54.2s,74,73,74,0,4,53,2.1,B
2387,693,24d11m11.5s,15d46m6.8s,57,57,57,0,4,178,3.33,B
2390,696,24d11m11.9s,15d47m0.7s,69,66,68,0,4,69,2.11,B
2391,697,24d11m12.3s,15d46m39.2s,52,50,51,0,4,59,2.37,B
2392,698,24d11m12.6s,15d47m10.2s,46,45,46,90,4,105,2.19,B
2394,700,24d11m12.8s,15d45m37.3s,50,50,50,0,2,-202,4.54,B
2396,702,24d11m13.0s,15d46m32.9s,66,58,64,90,4,75,2.55,B
2397,703,24d11m13.1s,15d47m13.0s,46,44,45,90,4,118,2.24,B
2398,704,24d11m13.1s,15d45m38.6s,55,55,55,0,2,-205,4.49,B
2407,713,24d11m14.6s,15d46m59.3s,56,53,55,90,4,91,2.23,B
2408,714,24d11m14.7s,15d46m47.6s,124,119,123,0,4,79,2.33,B
2409,715,24d11m14.8s,15d46m27.4s,58,56,57,0,4,104,2.76,B
2410,716,24d11m14.9s,15d46m31.1s,53,32,46,40,4,97,2.67,B
2411,717,24d11m15.4s,15d46m45.0s,81,79,80,0,4,85,2.4,B
2413,719,24d11m15.9s,15d46m33.7s,79,74,78,90,4,98,2.64,B
2419,725,24d11m17.1s,15d46m29.0s,45,45,45,0,4,121,2.81,B
2420,726,24d11m17.3s,15d46m54.2s,159,153,157,90,4,108,2.38,B
2423,729,24d11m17.9s,15d47m20.6s,85,83,84,0,2,-149,2.56,B
2424,730,24d11m17.9s,15d46m10.7s,217,138,191,90,4,200,3.39,B
2425,731,24d11m18.0s,15d46m39.1s,93,86,90,0,4,108,2.61,B
2427,733,24d11m18.6s,15d45m45.2s,65,65,65,0,2,-194,4.35,B
2429,735,24d11m18.9s,15d46m46.4s,82,63,76,90,4,115,2.53,B
2431,737,24d11m19.0s,15d46m25.1s,63,61,63,90,4,146,2.98,B
2434,740,24d11m19.5s,15d46m23.2s,41,41,41,0,4,156,3.05,B
2435,741,24d11m20.1s,15d45m55.9s,66,53,62,0,2,-204,3.98,B
2436,742,24d11m20.4s,15d45m47.5s,77,74,76,90,2,-186,4.31,B
2437,743,24d11m20.5s,15d46m27.2s,46,46,46,0,4,152,2.98,B
2438,744,24d11m20.7s,15d45m50.7s,121,121,121,0,2,-191,4.2,B
2442,748,24d11m21.2s,15d46m10.9s,50,32,44,20,4,222,3.49,B
2444,750,24d11m22.0s,15d46m18.0s,196,169,187,90,4,196,3.29,B
2447,753,24d11m22.4s,15d46m36.0s,243,233,240,90,4,151,2.86,B
2450,756,24d11m23.2s,15d45m56.9s,225,217,222,0,2,-181,4.04,B
2451,757,24d11m23.6s,15d45m53.9s,117,117,117,0,2,-170,4.16,B
2453,759,24d11m26.4s,15d46m55.8s,44,41,43,90,4,188,2.79,B
2455,761,24d11m27.1s,15d47m1.6s,41,40,41,90,2,-168,2.81,B
2457,763,24d11m28.0s,15d46m55.5s,44,42,43,90,2,-179,2.86,B
2460,766,24d11m30.0s,15d46m0.7s,51,51,51,0,2,-141,4.12,B
2461,767,24d11m30.9s,15d45m30.6s,96,96,96,0,2,-36,5.25,B
2462,768,24d11m31.1s,15d46m49.0s,58,56,57,90,2,-168,3.05,B
2463,769,24d11m31.9s,15d46m47.0s,77,77,77,0,2,-166,3.1,B
2464,770,24d11m32.1s,15d46m43.7s,69,53,63,60,2,-170,3.15,B
2465,771,24d11m32.9s,15d46m22.6s,94,94,94,0,2,-167,3.58,B
2467,773,24d11m34.0s,15d46m48.0s,89,79,86,0,2,-146,3.19,B
2468,774,24d11m34.4s,15d46m25.4s,47,47,47,0,2,-157,3.58,B
2470,776,24d11m34.6s,15d46m42.8s,45,45,45,0,2,-150,3.27,B
2474,780,24d11m35.9s,15d45m28.9s,48,48,48,0,2,5,5.45,B
2476,782,24d11m37.7s,15d45m28.9s,42,42,42,0,2,16,5.5,B
2477,783,24d11m38.2s,15d45m48.7s,51,51,51,0,2,-39,4.79,B
2478,784,24d11m39.8s,15d45m38.9s,254,228,245,0,2,-4,5.19,B
2487,793,24d11m42.8s,15d45m42.5s,48,45,47,0,2,8,5.15,B
2492,798,24d11m44.1s,15d45m45.7s,44,44,44,0,2,12,5.08,B
