GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
369,369,24d09m46.4s,15d46m44.3s,44,44,44,0,2,39,1.98,A
372,372,24d09m46.6s,15d47m13.6s,45,45,45,0,2,-45,1.9,A
377,377,24d09m46.9s,15d46m57.1s,101,62,88,60,2,-16,1.8,A
382,382,24d09m47.3s,15d47m11.7s,55,53,54,-90,2,-50,1.84,A
384,384,24d09m47.5s,15d47m20.0s,61,37,53,-65,2,-58,1.98,A
390,390,24d09m48.0s,15d47m42.6s,118,98,111,30,2,-3,2.64,A
393,393,24d09m48.3s,15d46m0.3s,48,48,48,0,4,37,3.37,A
395,395,24d09m48.4s,15d47m44.5s,44,44,44,0,2,4,2.69,A
399,399,24d09m48.7s,15d47m37.6s,65,55,62,-51,2,-28,2.44,A
414,414,24d09m49.5s,15d46m49.6s,53,37,48,-10,2,-9,1.76,A
415,415,24d09m49.7s,15d47m47.6s,43,40,42,0,2,15,2.77,A
416,416,24d09m49.7s,15d46m51.7s,97,78,91,60,2,-17,1.72,A
427,427,24d09m50.0s,15d48m8.5s,381,282,348,-60,2,153,3.61,A
430,430,24d09m50.1s,15d46m54.1s,44,43,44,-90,2,-29,1.68,A
438,438,24d09m50.5s,15d45m43.2s,52,52,52,0,4,184,4.06,A
439,439,24d09m50.5s,15d46m22.0s,48,48,48,0,4,-155,2.48,A
450,450,24d09m51.0s,15d47m38.5s,60,42,54,-90,2,-39,2.4,A
457,457,24d09m51.2s,15d47m26.6s,79,65,75,-30,2,-81,2.0,A
460,460,24d09m51.4s,15d46m7.8s,248,152,216,0,4,-31,3.0,A
477,477,24d09m52.2s,15d47m55.8s,47,47,47,0,2,52,3.03,A
480,480,24d09m52.4s,15d47m44.9s,54,33,47,-30,2,-18,2.59,A
482,482,24d09m52.5s,15d45m53.2s,245,190,227,0,4,92,3.59,A
483,483,24d09m52.5s,15d46m37.4s,41,41,41,0,2,41,1.9,A
494,494,24d09m53.2s,15d46m49.4s,55,29,46,-30,2,-35,1.6,A
498,498,24d09m53.4s,15d45m44.7s,82,82,82,0,4,165,3.94,A
500,500,24d09m53.4s,15d45m55.2s,51,51,51,0,4,72,3.48,A
513,513,24d09m54.3s,15d46m13.3s,59,41,53,80,4,-86,2.7,A
519,519,24d09m54.7s,15d46m24.7s,65,65,65,0,2,113,2.25,A
521,521,24d09m54.7s,15d48m1.8s,47,47,47,0,2,80,3.23,A
529,529,24d09m54.9s,15d46m15.3s,64,47,58,0,4,-104,2.61,A
532,532,24d09m55.2s,15d46m46.3s,61,54,59,0,2,-31,1.58,A
544,544,24d09m55.9s,15d46m37.5s,59,40,53,0,2,20,1.78,A
547,547,24d09m56.2s,15d47m1.8s,56,42,51,-90,2,-105,1.37,A
554,554,24d09m56.5s,15d47m48.8s,48,34,43,60,2,-19,2.64,A
558,558,24d09m57.0s,15d47m46.7s,70,54,64,-60,2,-35,2.55,A
561,561,24d09m57.1s,15d46m26.4s,46,46,46,0,2,88,2.12,A
566,566,24d09m57.3s,15d46m15.0s,45,39,43,-90,4,-103,2.56,A
579,579,24d09m57.9s,15d46m13.8s,138,98,125,-30,4,-94,2.6,A
583,583,24d09m58.0s,15d47m59.2s,165,136,156,-60,2,46,3.05,A
599,599,24d09m59.2s,15d46m52.4s,56,29,47,-85,2,-90,1.3,A
602,602,24d09m59.6s,15d48m31.3s,49,49,49,0,1,-185,4.47,A
607,607,24d10m0.0s,15d46m3.5s,132,99,121,-50,4,-7,2.99,A
610,610,24d10m0.3s,15d45m55.0s,48,48,48,0,4,65,3.37,A
621,621,24d10m1.7s,15d45m44.1s,124,123,123,-30,4,156,3.84,A
622,622,24d10m1.7s,15d47m39.2s,87,71,81,80,2,-112,2.13,A
625,625,24d10m2.0s,15d45m42.0s,47,46,47,-90,4,174,3.93,A
627,627,24d10m2.1s,15d46m32.8s,45,45,45,0,2,16,1.74,A
628,628,24d10m2.3s,15d45m53.6s,73,58,68,85,4,72,3.4,A
639,639,24d10m2.7s,15d46m41.3s,65,50,60,0,2,-45,1.43,A
646,646,24d10m3.6s,15d46m27.1s,45,45,45,0,2,58,1.92,A
647,647,24d10m3.7s,15d46m31.4s,45,45,45,0,2,19,1.75,A
648,648,24d10m3.9s,15d47m16.7s,90,67,82,-90,4,177,1.25,A
651,651,24d10m3.9s,15d47m14.5s,48,48,48,0,4,185,1.19,A
653,653,24d10m4.4s,15d46m42.7s,57,43,52,-40,2,-63,1.32,A
663,663,24d10m5.1s,15d48m10.5s,69,44,61,-50,2,112,3.45,A
684,684,24d10m6.8s,15d48m44.4s,51,51,51,0,1,137,5.01,A
685,685,24d10m6.8s,15d46m58.8s,49,35,45,0,2,178,0.88,A
688,688,24d10m7.1s,15d47m54.6s,83,63,76,30,2,-26,2.69,A
689,689,24d10m7.2s,15d46m46.5s,47,47,47,0,2,-105,1.11,A
690,690,24d10m7.2s,15d47m50.0s,57,48,54,-20,2,-64,2.48,A
