label,threshold,dice,iou,precision,recall,f1,gt_foreground_ratio,pred_foreground_ratio,area_ratio_pred_over_gt
all_background,,3.5597197e-06,3.5597197e-06,1.0,3.5597197e-06,7.119414e-06,0.15308926,0.0,0.0
all_foreground,,0.26552925,0.15308972,0.15308972,1.0,0.26552957,0.15308926,1.0,6.5321364
random_matching_fg_ratio,0.1530892550945282,0.1530122,0.08284507,0.15327002,0.15275826,0.1530137,0.15308926,0.15257809,0.9966609
