label,threshold,dice,iou,precision,recall,f1,gt_foreground_ratio,pred_foreground_ratio,area_ratio_pred_over_gt
smooth_intensity_dark_lt,0.5500000000000002,0.19734707,0.1094764,0.1370162,0.3526116,0.19734788,0.15308926,0.39397648,2.573508
smooth_intensity_bright_gt,0.6500000000000002,0.18505025,0.10195977,0.18736841,0.1827916,0.18505171,0.15308926,0.14934976,0.97557306
smooth_intensity_bright_gt,0.6750000000000003,0.1581575,0.08587021,0.19126931,0.13482082,0.15815926,0.15308926,0.107908525,0.7048732
smooth_intensity_dark_lt,0.5250000000000001,0.15340489,0.08307525,0.13851984,0.1718775,0.15340625,0.15308926,0.18995558,1.2408158
smooth_intensity_bright_gt,0.7000000000000002,0.1334177,0.07147816,0.19452724,0.10152677,0.13341972,0.15308926,0.07989938,0.52191365
smooth_intensity_bright_gt,0.7250000000000002,0.111257285,0.05890674,0.1960203,0.077673085,0.11125955,0.15308926,0.060661316,0.39624798
smooth_intensity_bright_gt,0.7500000000000002,0.09145004,0.04791734,0.1948996,0.059742775,0.09145252,0.15308926,0.046926226,0.3065285
smooth_intensity_bright_gt,0.7750000000000002,0.07610422,0.03955878,0.19403225,0.047337152,0.07610686,0.15308926,0.037348066,0.24396266
smooth_intensity_bright_gt,0.8000000000000003,0.06376021,0.032931402,0.19330943,0.038177993,0.06376299,0.15308926,0.0302342,0.19749393
smooth_intensity_bright_gt,0.8250000000000003,0.054009635,0.027755847,0.19258806,0.031410966,0.054012526,0.15308926,0.024968283,0.16309623
smooth_intensity_bright_gt,0.8500000000000003,0.04657307,0.02384329,0.19468169,0.026452277,0.046576053,0.15308926,0.020800455,0.13587141
smooth_intensity_bright_gt,0.8750000000000002,0.039703194,0.020255262,0.19481742,0.02210586,0.03970626,0.15308926,0.017370496,0.11346645
smooth_intensity_bright_gt,0.9000000000000002,0.03393694,0.017262993,0.19604823,0.018578177,0.03394008,0.15308926,0.014506749,0.09476006
smooth_intensity_bright_gt,0.9250000000000003,0.029205916,0.014821013,0.19881466,0.015762439,0.029209116,0.15308926,0.012136732,0.07927879
smooth_intensity_dark_lt,0.5000000000000001,0.02646171,0.013409547,0.04797241,0.01827204,0.026464215,0.15308926,0.058309283,0.3808842
smooth_intensity_dark_lt,0.47500000000000014,0.00992354,0.004987845,0.019787978,0.006624638,0.009926176,0.15308926,0.051251,0.33477855
smooth_intensity_dark_lt,0.4500000000000001,0.009620754,0.0048349644,0.019287817,0.006411055,0.009623396,0.15308926,0.05088479,0.3323864
smooth_intensity_dark_lt,0.42500000000000016,0.009330365,0.0046883863,0.018791888,0.006208151,0.009333012,0.15308926,0.050574712,0.33036092
smooth_intensity_dark_lt,0.40000000000000013,0.00919855,0.0046218657,0.018604198,0.0061120386,0.009201202,0.15308926,0.05029406,0.32852766
smooth_intensity_dark_lt,0.3750000000000001,0.008928907,0.004485816,0.018148107,0.0059233736,0.008931563,0.15308926,0.04996654,0.32638827
smooth_intensity_dark_lt,0.3500000000000001,0.008619044,0.004329519,0.017628752,0.0057062306,0.008621707,0.15308926,0.049552917,0.32368642
smooth_intensity_dark_lt,0.32500000000000007,0.008448574,0.0042435527,0.017324712,0.0055887597,0.008451239,0.15308926,0.049384527,0.32258648
smooth_intensity_dark_lt,0.3000000000000001,0.008385998,0.0042120013,0.01724367,0.0055424836,0.008388666,0.15308926,0.04920578,0.32141888
smooth_intensity_dark_lt,0.2750000000000001,0.008187926,0.0041121403,0.016879277,0.005407214,0.0081905965,0.15308926,0.049041204,0.32034382
smooth_intensity_dark_lt,0.25000000000000006,0.008127296,0.0040815775,0.016780617,0.0053644977,0.008129968,0.15308926,0.048939843,0.31968173
smooth_intensity_dark_lt,0.22500000000000006,0.008071851,0.0040536295,0.016691398,0.0053253407,0.008074524,0.15308926,0.048842292,0.31904453
smooth_intensity_dark_lt,0.20000000000000007,0.007918048,0.003976111,0.016426323,0.005218549,0.007920724,0.15308926,0.04863521,0.31769183
smooth_intensity_dark_lt,0.17500000000000004,0.007814508,0.0039239326,0.016276738,0.0051437947,0.007817187,0.15308926,0.048379082,0.31601876
smooth_intensity_dark_lt,0.15000000000000002,0.007381205,0.0037056298,0.015515453,0.004844778,0.007383894,0.15308926,0.047802515,0.31225255
smooth_intensity_dark_lt,0.12500000000000003,0.007188364,0.0036085045,0.015163662,0.0047130687,0.007191057,0.15308926,0.04758181,0.31081086
smooth_intensity_dark_lt,0.10000000000000002,0.006946616,0.0034867732,0.014709098,0.0045493217,0.006949312,0.15308926,0.047348022,0.30928373
smooth_intensity_dark_lt,0.07500000000000001,0.0069002095,0.0034634091,0.014628242,0.004517284,0.006902907,0.15308926,0.04727445,0.30880317
smooth_intensity_dark_lt,0.05,0.0067292294,0.0033773351,0.014324788,0.0043998132,0.0067319307,0.15308926,0.047020502,0.30714434
