epoch,dice_coef,iou_coef,learning_rate,loss,val_dice_coef,val_iou_coef,val_loss
0,0.25014418363571167,0.14555679261684418,9.999999747378752e-05,1.6838699579238892,0.390303373336792,0.24627381563186646,1.7474486827850342
1,0.2582601308822632,0.15067066252231598,9.999999747378752e-05,1.6237866878509521,0.39452192187309265,0.2493588775396347,1.7278497219085693
2,0.28071239590644836,0.16567865014076233,9.999999747378752e-05,1.5456674098968506,0.39639830589294434,0.2508307695388794,1.7218177318572998
3,0.2831752300262451,0.1673716902732849,9.999999747378752e-05,1.5402750968933105,0.39717617630958557,0.25144335627555847,1.7194513082504272
4,0.283780038356781,0.16777537763118744,9.999999747378752e-05,1.5383936166763306,0.3975032866001129,0.2516706883907318,1.7180449962615967
5,0.2847318649291992,0.16840651631355286,9.999999747378752e-05,1.5363115072250366,0.37552356719970703,0.2336842566728592,1.7858977317810059
6,0.2840704321861267,0.1679382473230362,9.999999747378752e-05,1.5365477800369263,0.3972621262073517,0.2513313591480255,1.7198636531829834
7,0.2851952612400055,0.16855648159980774,9.999999747378752e-05,1.5324344635009766,0.40995264053344727,0.2619578540325165,1.6914420127868652
8,0.2866666316986084,0.16958492994308472,9.999999747378752e-05,1.5325623750686646,0.4092373847961426,0.26133254170417786,1.6921719312667847
9,0.2867041230201721,0.16958588361740112,9.999999747378752e-05,1.5302526950836182,0.40848395228385925,0.26066580414772034,1.6929463148117065
