fold,tag,params,n_train,n_val,epochs_run,best_epoch,val_dice_soft,train_dice_soft,best_threshold,val_dice_hard,pred_foreground,train_val_gap
0,stage05baselinefold0,46401,344,24,10,9,0.3194410502910614,0.3415360450744629,0.4500000000000001,0.3577413260936737,0.5827553868293762,0.02209499478340149
1,stage05baselinefold1,46401,364,21,10,7,0.40995264053344727,0.2851952612400055,0.5000000000000001,0.4781884253025055,0.9649309515953064,-0.12475737929344177
2,stage05baselinefold2,46401,344,24,10,9,0.22739894688129425,0.3497416377067566,0.5750000000000002,0.36818957328796387,0.17135684192180634,0.12234269082546234
3,stage05baselinefold3,46401,364,21,10,8,0.34038591384887695,0.308241069316864,0.05,0.39473944902420044,1.0,-0.03214484453201294
